SOFIA_name,SOFIA_name,Coordinates,RA,DEC,Property,R37,F37
NGC2264.4,NGC2264.4,06h41m09.9s +09d35m40.5s,100.29144,9.5945833,Isolated,1.07088621586,3.93587829597
S171.1,S171.1,00h03m59.8s +68d35m05.8s,0.99921118,68.584948,Isolated,1.03452799702,3.85563593584
NGC2071.5,NGC2071.5,05h47m10.7s +00d21m14.0s,86.794539,0.35388063,Isolated,1.11435624782,3.80504197322
Oph.10,Oph.10,16h27m17.5s -24d28m55.0s,246.82305,-24.481945,Isolated,1.26014620327,3.74091315856
Oph.5,Oph.5,16h27m06.8s -24d38m15.4s,246.77825,-24.637615,Isolated,1.30789471572,3.05446598812
NGC1333.4,NGC1333.4,03h29m11.1s +31d18m30.8s,52.296422,31.308554,Isolated,1.10255145149,3.03998348872
NGC1333.7,NGC1333.7,03h28m43.4s +31d17m34.8s,52.180693,31.292999,Isolated,1.18928947074,2.61352210026
Oph.16,Oph.16,16h26m24.1s -24d24m48.3s,246.6003,-24.413428,Isolated,1.79788011537,2.370659651
NGC1333.5,NGC1333.5,03h29m10.6s +31d18m19.6s,52.294326,31.305431,Isolated,1.62346989206,2.16645658958
NGC2264.3,NGC2264.3,06h41m06.5s +09d35m54.2s,100.27704,9.5983873,Isolated,1.61064927797,2.15044002325
NGC2264.7,NGC2264.7,06h41m05.7s +09d34m06.9s,100.27377,9.5685846,Isolated,1.70278066336,2.10347280725
S140.7,S140.7,22h19m14.7s +63d19m00.0s,334.81105,63.316662,Isolated,0.0,2.10303848041
IRAS20050.7,IRAS20050.7,20h07m07.9s +27d27m15.8s,301.78303,27.454384,Isolated,0.0,2.08792666
Oph.13,Oph.13,16h27m30.1s -24d27m43.3s,246.87562,-24.462017,Isolated,0.0,1.9843224977
S140.6,S140.6,22h19m22.4s +63d18m04.5s,334.8435,63.30126,Isolated,1.04276794546,1.97890877008
NGC2264.9,NGC2264.9,06h41m05.8s +09d35m29.8s,100.27397,9.5915978,Isolated,1.79678586379,1.89691413721
NGC2264.6,NGC2264.6,06h41m11.9s +09d35m33.8s,100.29974,9.592718,Isolated,1.4003619994,1.87179138209
NGC1333.6,NGC1333.6,03h29m13.0s +31d18m13.8s,52.304081,31.303833,Isolated,0.950532415301,1.80593804965
NGC2264.5,NGC2264.5,06h41m06.7s +09d34m45.9s,100.2781,9.5794176,Isolated,1.23332040047,1.74799164917
NGC2264.12,NGC2264.12,06h40m59.1s +09d33m23.9s,100.24643,9.556648,Isolated,0.0,1.74330983878
NGC2264.10,NGC2264.10,06h41m08.6s +09d35m42.1s,100.28599,9.5950216,Isolated,1.30352296319,1.70210904551
Oph.15,Oph.15,16h27m29.4s -24d39m16.6s,246.87266,-24.654617,Isolated,1.25054744655,1.63113159364
NGC2264.8,NGC2264.8,06h41m06.1s +09d34m08.5s,100.27533,9.5690299,Isolated,1.86537796148,1.55865717624
Oph.17,Oph.17,16h26m23.6s -24d24m39.4s,246.59837,-24.410949,Isolated,0.955404403336,1.45714883238
Oph.19,Oph.19,16h26m30.5s -24d22m59.9s,246.62708,-24.383295,Isolated,2.51018123838,1.29714164702
Oph.18,Oph.18,16h26m17.2s -24d23m45.1s,246.57173,-24.39585,Isolated,1.18065378659,1.28654509343
CepC.3,CepC.3,23h05m40.0s +62d29m16.2s,346.41682,62.487843,Isolated,1.04066825987,1.22311793333
IRAS20050.6,IRAS20050.6,20h07m02.2s +27d30m26.0s,301.75905,27.507226,Isolated,1.40457965263,1.21581745336
NGC2264.18,NGC2264.18,06h41m04.3s +09d34m59.3s,100.26771,9.5831432,Isolated,1.37954874051,1.20802251627
NGC2264.17,NGC2264.17,06h41m06.8s +09d33m31.5s,100.27814,9.5587547,Isolated,0.978400344819,1.20470741506
CepC.2,CepC.2,23h05m47.9s +62d30m38.6s,346.4495,62.51072,Isolated,0.0,1.14453579141
NGC7129.5,NGC7129.5,21h43m06.9s +66d06m42.1s,325.77889,66.111695,Isolated,0.0,1.13363266441
NGC2264.19,NGC2264.19,06h41m01.8s +09d34m33.7s,100.25757,9.5760358,Isolated,1.54721123686,1.01062052884
Oph.14,Oph.14,16h27m28.4s -24d27m21.1s,246.86831,-24.455849,Isolated,1.89409319313,1.00362534397
NGC2264.20,NGC2264.20,06h41m06.3s +09d33m50.4s,100.27638,9.5640029,Isolated,1.49056850012,0.998532452639
NGC2264.21,NGC2264.21,06h41m09.3s +09d30m25.8s,100.28894,9.5071655,Isolated,1.1027430531,0.976676749443
CepA.1,CepA.1,22h56m06.9s +62d04m34.0s,344.02869,62.076121,Isolated,1.15509146809,0.339471795098
S171.2,S171.2,00h04m02.0s +68d34m33.3s,1.0081815,68.575909,Isolated,0.0,0.178799175739
