	total_star	 total_blob	total_match	success_rate	exposure	eq_attitude_ra	eq_attitude_dec	eq_attitude_roll	eq_errors_ra	eq_errors_dec	eq_errors_roll	eq_point_error	eq_iplatescale	hor_attitude_az	hor_attitude_el	hor_attitude_roll	hor_point_error	hor_iplatescale	time_wall	time_user	time_system	time_CPU	az	dec	roll	sigma_az	sigma_dec	sigma_roll	sigma_point	fit_err	iplatescale
0	11.0	23.0	9.0	39.13	56.0	235.942	1.0578	-147.2069	1.975	2.248	196.983	2.111	4.025	138.3684	43.9422	-178.2963	2.116	4.025	1.032227	1.0	0.02	1.02	9.57525e-06	1.08991e-05	0.000955	9.57525e-06	1.08991e-05	0.000955	1.02364e-05	1.4614	1.95138e-05
1	15.0	19.0	10.0	52.63	47.0	236.9249	1.0573	-147.2144	1.21	1.289	99.43	1.249	4.025	138.3948	43.9531	-178.286	1.25	4.025	0.915686	0.87	0.04	0.91	5.86396e-06	6.24706e-06	0.000482049	5.86396e-06	6.24706e-06	0.000482049	6.05501e-06	0.942201	1.95138e-05
2	14.0	16.0	7.0	43.75	52.0	236.1128	1.0577	-147.2473	1.57	1.576	107.413	1.573	4.025	138.3645	43.9405	-178.3394	1.574	4.025	0.980972	0.93	0.04	0.97	7.61074e-06	7.64178e-06	0.000520753	7.61074e-06	7.64178e-06	0.000520753	7.62561e-06	1.01168	1.95138e-05
3	13.0	13.0	7.0	53.85	53.0	234.7034	1.059	-147.2585	1.292	1.331	114.385	1.311	4.025	138.3965	43.9558	-178.3289	1.311	4.025	0.925344	0.89	0.03	0.92	6.26262e-06	6.45447e-06	0.000554553	6.26262e-06	6.45447e-06	0.000554553	6.35801e-06	0.836479	1.95138e-05
4	14.0	15.0	7.0	46.67	49.0	236.2624	1.0563	-147.2432	2.502	2.516	209.142	2.509	4.025	138.3868	43.9484	-178.3202	2.509	4.025	1.045281	0.99	0.04	1.03	1.21295e-05	1.21994e-05	0.00101395	1.21295e-05	1.21994e-05	0.00101395	1.21634e-05	1.64407	1.95138e-05
5	13.0	15.0	9.0	60.0	55.0	234.79	1.0585	-147.245	2.134	2.133	172.293	2.133	4.025	138.3935	43.9539	-178.3175	2.133	4.025	0.914389	0.87	0.03	0.9	1.03471e-05	1.03397e-05	0.0008353	1.03471e-05	1.03397e-05	0.0008353	1.03425e-05	1.57412	1.95138e-05
6	14.0	24.0	12.0	50.0	49.0	236.4544	1.0574	-147.2013	1.614	1.625	148.264	1.62	4.025	138.3569	43.9367	-178.2986	1.62	4.025	0.93212	0.88	0.04	0.92	7.82655e-06	7.87926e-06	0.000718805	7.82655e-06	7.87926e-06	0.000718805	7.85224e-06	1.38876	1.95138e-05
7	14.0	18.0	10.0	55.56	46.0	236.561	1.0573	-147.1913	1.401	1.401	150.745	1.401	4.025	138.3794	43.9465	-178.2733	1.401	4.025	0.929275	0.89	0.03	0.92	6.79321e-06	6.79332e-06	0.000730834	6.79321e-06	6.79332e-06	0.000730834	6.79268e-06	1.0997	1.95138e-05
8	14.0	22.0	8.0	36.36	64.0	234.4476	1.057	-147.5774	3.421	3.322	403.838	3.371	4.025	138.4033	43.9565	-178.6432	3.366	4.025	1.60704	1.55	0.03	1.58	1.65854e-05	1.61045e-05	0.00195786	1.65854e-05	1.61045e-05	0.00195786	1.63436e-05	2.21985	1.95138e-05
9	14.0	15.0	6.0	40.0	57.0	236.5826	1.0569	-147.2398	1.063	1.067	109.47	1.065	4.025	138.4038	43.9566	-178.3052	1.065	4.025	0.944875	0.9	0.03	0.93	5.15293e-06	5.17489e-06	0.000530725	5.15293e-06	5.17489e-06	0.000530725	5.16347e-06	0.644842	1.95138e-05
