	total_star	 total_blob	total_match	success_rate	exposure	eq_attitude_ra	eq_attitude_dec	eq_attitude_roll	eq_errors_ra	eq_errors_dec	eq_errors_roll	eq_point_error	eq_iplatescale	hor_attitude_az	hor_attitude_el	hor_attitude_roll	hor_point_error	hor_iplatescale	time_wall	time_user	time_system	time_CPU	az	dec	roll	sigma_az	sigma_dec	sigma_roll	sigma_point	fit_err	iplatescale
0	11.0	36.0	10.0	27.78	57.0	245.8733	1.0454	-147.2869	1.63	1.627	151.384	1.628	4.025	138.3641	43.9259	-178.3791	1.626	4.025	0.951408	0.91	0.02	0.93	7.90109e-06	7.88783e-06	0.000733928	7.90109e-06	7.88783e-06	0.000733928	7.89381e-06	1.19519	1.95138e-05
1	9.0	21.0	6.0	28.57	83.0	249.899	1.0367	-147.3116	2.213	2.194	166.374	2.203	4.025	138.4115	43.9363	-178.3716	4.416	4.025	0.911785	0.88	0.02	0.9	1.07302e-05	1.06345e-05	0.000806605	1.07302e-05	1.06345e-05	0.000806605	1.06815e-05	1.33436	1.95138e-05
2	6.0	25.0	5.0	20.0	68.0	248.0511	1.0422	-147.208	2.342	2.339	172.19	2.34	4.025	138.4149	43.9442	-178.2658	2.34	4.025	1.22389	1.17	0.03	1.2	1.13534e-05	1.1342e-05	0.000834799	1.13534e-05	1.1342e-05	0.000834799	1.13468e-05	1.28938	1.95138e-05
3	14.0	23.0	11.0	47.83	62.0	245.3599	1.0466	-147.2699	1.182	1.156	110.664	1.169	4.025	138.3765	43.9326	-178.3538	1.168	4.025	1.243124	1.2	0.03	1.23	5.73128e-06	5.60228e-06	0.000536512	5.73128e-06	5.60228e-06	0.000536512	5.6663e-06	0.918867	1.95138e-05
4	8.0	23.0	6.0	26.09	55.0	246.8755	1.0445	-147.2644	1.51	1.544	135.409	1.527	4.025	138.3676	43.9264	-178.3542	1.527	4.025	1.07694	1.03	0.04	1.07	7.31973e-06	7.4839e-06	0.000656481	7.31973e-06	7.4839e-06	0.000656481	7.40121e-06	0.916493	1.95138e-05
5	8.0	23.0	6.0	26.09	53.0	246.9382	1.0447	-147.264	3.375	3.389	277.828	3.382	4.025	138.3925	43.9374	-178.337	3.382	4.025	0.917518	0.88	0.03	0.91	1.6363e-05	1.64293e-05	0.00134695	1.6363e-05	1.64293e-05	0.00134695	1.63948e-05	2.03581	1.95138e-05
6	9.0	18.0	5.0	27.78	68.0	249.8774	1.038	-147.2304	2.907	2.92	211.459	2.914	4.025	138.3864	43.927	-178.3074	2.944	4.025	1.031635	0.97	0.04	1.01	1.40951e-05	1.41584e-05	0.00102518	1.40951e-05	1.41584e-05	0.00102518	1.41256e-05	1.60432	1.95138e-05
7	15.0	22.0	8.0	36.36	55.0	245.2529	1.0466	-147.2639	1.176	1.137	115.98	1.156	4.025	138.4043	43.9447	-178.3289	1.157	4.025	3.732391	3.66	0.04	3.7	5.70304e-06	5.5104e-06	0.000562286	5.70304e-06	5.5104e-06	0.000562286	5.60624e-06	0.79821	1.95138e-05
8	13.0	28.0	10.0	35.71	70.0	245.6585	1.0466	-147.3225	1.759	1.743	158.604	1.751	4.025	138.3699	43.9298	-178.4108	1.748	4.025	1.328484	1.29	0.03	1.32	8.52888e-06	8.45239e-06	0.000768935	8.52888e-06	8.45239e-06	0.000768935	8.48993e-06	1.2793	1.95138e-05
9	10.0	23.0	10.0	43.48	59.0	245.9791	1.0465	-147.2138	1.321	1.414	122.594	1.367	4.025	138.3868	43.937	-178.2906	1.362	4.025	0.911385	0.88	0.03	0.91	6.40228e-06	6.85414e-06	0.000594351	6.40228e-06	6.85414e-06	0.000594351	6.62768e-06	0.967905	1.95138e-05
10	9.0	25.0	8.0	32.0	75.0	249.8128	1.0368	-147.283	2.835	2.788	197.364	2.811	4.025	138.4143	43.9376	-178.3411	2.811	4.025	2.069195	1.98	0.05	2.03	1.37468e-05	1.35164e-05	0.000956847	1.37468e-05	1.35164e-05	0.000956847	1.36305e-05	1.94213	1.95138e-05
11	9.0	27.0	8.0	29.63	56.0	246.3422	1.045	-147.2577	1.491	1.511	112.406	1.501	4.025	138.4041	43.9427	-178.3228	1.437	4.025	2.219523	2.15	0.05	2.2	7.2267e-06	7.32783e-06	0.00054496	7.2267e-06	7.32783e-06	0.00054496	7.27667e-06	1.04691	1.95138e-05
12	8.0	26.0	8.0	30.77	54.0	246.8328	1.044	-147.2423	1.535	1.542	124.843	1.538	4.025	138.369	43.9263	-178.3312	1.538	4.025	1.067594	0.99	0.05	1.04	7.44084e-06	7.47763e-06	0.000605254	7.44084e-06	7.47763e-06	0.000605254	7.45862e-06	1.05971	1.95138e-05
13	8.0	24.0	5.0	20.83	80.0	249.4283	1.0369	-147.3242	1.798	2.126	136.309	1.962	4.025	138.4235	43.9417	-178.3761	1.966	4.025	1.052903	1.0	0.03	1.03	8.71598e-06	1.03051e-05	0.000660846	8.71598e-06	1.03051e-05	0.000660846	9.50981e-06	0.997538	1.95138e-05
14	7.0	22.0	6.0	27.27	72.0	249.3428	1.0366	-147.3185	1.467	1.591	122.105	1.529	4.025	138.4257	43.9424	-178.3689	1.528	4.025	1.067922	0.98	0.08	1.06	7.11431e-06	7.71421e-06	0.000591983	7.11431e-06	7.71421e-06	0.000591983	7.41368e-06	0.874682	1.95138e-05
15	8.0	24.0	7.0	29.17	60.0	247.5385	1.0434	-147.2848	1.25	1.27	107.182	1.26	4.025	138.3765	43.9289	-178.3687	1.257	4.025	1.47298	1.41	0.05	1.46	6.05838e-06	6.15853e-06	0.000519634	6.05838e-06	6.15853e-06	0.000519634	6.10795e-06	0.7712	1.95138e-05
16	15.0	24.0	9.0	37.5	59.0	245.2311	1.0465	-147.2285	1.004	1.01	96.572	1.007	4.025	138.3804	43.9343	-178.3097	1.007	4.025	1.221844	1.19	0.03	1.22	4.86852e-06	4.89669e-06	0.000468192	4.86852e-06	4.89669e-06	0.000468192	4.8822e-06	0.732852	1.95138e-05
17	5.0	19.0	4.0	21.05	65.0	248.0716	1.0429	-147.2486	2.015	1.972	146.673	1.993	4.025	138.3901	43.9342	-178.3232	1.994	4.025	1.424552	1.37	0.03	1.4	9.76908e-06	9.56096e-06	0.000711091	9.76908e-06	9.56096e-06	0.000711091	9.66421e-06	0.978293	1.95138e-05
18	8.0	18.0	7.0	38.89	58.0	246.7899	1.0443	-147.2608	1.498	1.646	131.278	1.572	4.025	138.37	43.9272	-178.349	1.571	4.025	1.072088	1.02	0.04	1.06	7.26464e-06	7.98165e-06	0.000636452	7.26464e-06	7.98165e-06	0.000636452	7.62254e-06	0.968773	1.95138e-05
19	13.0	31.0	10.0	32.26	61.0	245.7234	1.0461	-147.1968	1.979	2.283	193.995	2.131	4.025	138.3926	43.939	-178.2697	2.113	4.025	0.950871	0.92	0.02	0.94	9.59575e-06	1.10685e-05	0.000940514	9.59575e-06	1.10685e-05	0.000940514	1.03313e-05	1.41325	1.95138e-05
20	15.0	23.0	9.0	39.13	60.0	245.1457	1.0466	-147.2412	1.06	1.068	91.008	1.064	4.025	138.3824	43.9352	-178.3211	1.064	4.025	1.230488	1.19	0.03	1.22	5.14022e-06	5.17729e-06	0.000441219	5.14022e-06	5.17729e-06	0.000441219	5.15833e-06	0.779082	1.95138e-05
21	6.0	21.0	6.0	28.57	63.0	248.0079	1.0429	-147.2533	1.595	1.625	111.698	1.61	4.025	138.416	43.9455	-178.3103	1.61	4.025	1.224312	1.19	0.03	1.22	7.73085e-06	7.8779e-06	0.000541529	7.73085e-06	7.8779e-06	0.000541529	7.80373e-06	0.969031	1.95138e-05
22	10.0	27.0	9.0	33.33	62.0	245.9578	1.0461	-147.2445	1.273	1.351	116.779	1.312	4.025	138.4124	43.9476	-178.3039	1.309	4.025	0.91338	0.88	0.03	0.91	6.17016e-06	6.54977e-06	0.000566159	6.17016e-06	6.54977e-06	0.000566159	6.35945e-06	0.904944	1.95138e-05
23	8.0	22.0	5.0	22.73	52.0	247.7522	1.0431	-147.2674	2.019	2.279	184.889	2.149	4.025	138.3715	43.9264	-178.3546	2.148	4.025	0.938715	0.91	0.03	0.94	9.78989e-06	1.1048e-05	0.000896367	9.78989e-06	1.1048e-05	0.000896367	1.04181e-05	1.10299	1.95138e-05
24	7.0	27.0	6.0	22.22	55.0	247.41	1.044	-147.244	1.516	1.565	152.064	1.54	4.025	138.3796	43.931	-178.3257	1.539	4.025	1.19834	1.14	0.04	1.18	7.34779e-06	7.58624e-06	0.000737227	7.34779e-06	7.58624e-06	0.000737227	7.4664e-06	0.901311	1.95138e-05
25	9.0	24.0	4.0	16.67	66.0	249.9843	1.0362	-147.3146	1.6	1.615	140.641	1.607	4.025	138.4099	43.9351	-178.3756	1.607	4.025	1.059835	1.01	0.04	1.05	7.75694e-06	7.82955e-06	0.000681847	7.75694e-06	7.82955e-06	0.000681847	7.79261e-06	0.794573	1.95138e-05
26	7.0	23.0	5.0	21.74	57.0	247.26	1.0435	-147.2779	1.024	0.982	96.117	1.003	4.025	138.4089	43.9431	-178.3397	1.003	4.025	1.002199	0.96	0.03	0.99	4.96281e-06	4.7631e-06	0.000465987	4.96281e-06	4.7631e-06	0.000465987	4.86254e-06	0.545805	1.95138e-05
27	7.0	25.0	5.0	20.0	53.0	247.0471	1.0454	-147.2286	3.827	3.924	359.656	3.875	4.025	138.4119	43.9466	-178.2884	3.871	4.025	0.905648	0.87	0.03	0.9	1.85543e-05	1.90253e-05	0.00174366	1.85543e-05	1.90253e-05	0.00174366	1.87883e-05	2.04235	1.95138e-05
28	7.0	24.0	6.0	25.0	55.0	246.6838	1.0443	-147.2551	2.127	2.154	165.772	2.14	4.025	138.3967	43.9388	-178.3252	2.14	4.025	1.010199	0.98	0.02	1.0	1.03102e-05	1.04407e-05	0.000803684	1.03102e-05	1.04407e-05	0.000803684	1.03746e-05	1.28934	1.95138e-05
29	8.0	18.0	5.0	27.78	78.0	249.4498	1.0367	-147.3185	1.685	1.967	127.757	1.826	4.025	138.3981	43.9305	-178.3876	1.829	4.025	1.059139	1.02	0.02	1.04	8.16922e-06	9.53629e-06	0.000619383	8.16922e-06	9.53629e-06	0.000619383	8.85209e-06	0.934945	1.95138e-05
30	13.0	27.0	9.0	33.33	49.0	245.5518	1.0463	-147.2261	2.115	2.279	213.657	2.197	4.025	138.3975	43.9414	-178.2957	2.187	4.025	1.112683	1.07	0.03	1.1	1.02558e-05	1.1047e-05	0.00103584	1.02558e-05	1.1047e-05	0.00103584	1.06505e-05	1.46503	1.95138e-05
31	9.0	17.0	6.0	35.29	77.0	250.0059	1.0367	-147.2996	2.517	2.397	186.394	2.457	4.025	138.3839	43.9243	-178.3783	2.457	4.025	1.063506	1.0	0.04	1.04	1.22042e-05	1.1621e-05	0.000903664	1.22042e-05	1.1621e-05	0.000903664	1.19116e-05	1.45616	1.95138e-05
32	11.0	25.0	8.0	32.0	123.0	245.8293	1.0457	-147.2406	1.637	1.627	147.473	1.632	4.025	138.3665	43.9272	-178.3312	1.632	4.025	0.942157	0.91	0.03	0.94	7.93533e-06	7.88938e-06	0.000714971	7.93533e-06	7.88938e-06	0.000714971	7.91169e-06	1.11705	1.95138e-05
33	13.0	24.0	8.0	33.33	64.0	245.4876	1.045	-147.1729	3.147	2.806	348.783	2.976	4.025	138.3752	43.9302	-178.2576	2.981	4.025	0.907126	0.87	0.03	0.9	1.52593e-05	1.36032e-05	0.00169095	1.52593e-05	1.36032e-05	0.00169095	1.44299e-05	1.95646	1.95138e-05
34	7.0	22.0	6.0	27.27	53.0	246.5982	1.0445	-147.2459	1.893	1.895	151.027	1.894	4.025	138.3987	43.9399	-178.3147	1.894	4.025	0.981431	0.94	0.04	0.98	9.17674e-06	9.18651e-06	0.0007322	9.17674e-06	9.18651e-06	0.0007322	9.18086e-06	1.15187	1.95138e-05
35	6.0	21.0	5.0	23.81	64.0	247.9866	1.0429	-147.25	1.969	1.915	128.129	1.942	4.025	138.3916	43.935	-178.3235	1.914	4.025	1.240813	1.18	0.04	1.22	9.54775e-06	9.28416e-06	0.000621185	9.54775e-06	9.28416e-06	0.000621185	9.41516e-06	1.06292	1.95138e-05
36	7.0	26.0	5.0	19.23	76.0	250.4541	1.0355	-147.301	1.585	1.644	187.844	1.615	4.025	138.3993	43.9296	-178.3692	1.615	4.025	1.031293	0.99	0.03	1.02	7.68377e-06	7.97269e-06	0.000910693	7.68377e-06	7.97269e-06	0.000910693	7.8276e-06	0.879808	1.95138e-05
37	9.0	21.0	7.0	33.33	123.0	249.6636	1.0363	-147.3171	1.556	1.609	117.84	1.583	4.025	138.393	43.9278	-178.3896	1.582	4.025	1.039342	0.99	0.03	1.02	7.54537e-06	7.80176e-06	0.000571305	7.54537e-06	7.80176e-06	0.000571305	7.67294e-06	0.996743	1.95138e-05
38	7.0	20.0	6.0	30.0	61.0	250.1126	1.0355	-147.2504	1.025	1.044	123.987	1.034	4.025	138.4072	43.933	-178.3133	1.033	4.025	3.883564	3.74	0.06	3.8	4.96886e-06	5.06036e-06	0.000601104	4.96886e-06	5.06036e-06	0.000601104	5.0142e-06	0.595698	1.95138e-05
