,alpha,alpha2
count,65.0,65.0
mean,0.101913767941,0.14925144256
std,0.0276296273039,0.0805360527326
min,0.0379642132738,-0.000183588584552
25%,0.0796744723236,0.0977075969889
50%,0.105044314822,0.15968417885
75%,0.120425879941,0.177612485155
max,0.16738013874,0.439139731483
