SOFIA_name,Coordinates,alpha,R,env_mass,env_mass_std,sLsun,sLsun_std,inc,ext,s
IRAS20050.8,20h07m06.5s +27d28m54.3s,1.58071365436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAS20050.3,20h07m06.3s +27d28m56.6s,1.13466826383,0.732250572907,0.11400000006,0.0512348972261,48.4500007629,9.81611633301,18.6717185974,14.0,1.14999997616
IRAS20050.4,20h07m05.9s +27d28m59.2s,1.71174609804,0.266311788931,0.577000021935,0.413162261248,57.0,17.3675479889,37.8636474609,3.0,1.0
IRAS20050.2,20h07m06.2s +27d28m49.1s,1.64927939626,0.771839426623,0.256000012159,0.158962592483,39.8999977112,9.49518489838,18.6717185974,14.0,0.699999988079
IRAS20050.1,20h07m06.6s +27d28m48.0s,0.0713131396905,0.741233583954,0.00400000018999,0.00120702560525,108.800003052,22.0928001404,58.2431373596,8.0,0.699999988079
IRAS20050.5,20h07m06.6s +27d28m53.1s,0.536667703819,0.78184027142,0.00999999977648,0.00352473394014,43.6655006409,7.23448848724,46.8264503479,13.0,1.29999995232
IRAS20050.7,20h07m07.9s +27d27m15.8s,1.29438933292,1.41468965794,0.0219999998808,0.238314568996,374.399993896,225.60357666,0.0,14.0,1.29999995232
IRAS20050.6,20h07m02.2s +27d30m26.0s,-0.338316422119,2.22185631924,0.00400000018999,0.00150229909923,134.399993896,28.2494812012,32.6368980408,13.0,0.699999988079
