SOFIA_name,Coordinates,Property,j,e_j,h,e_h,ks,e_ks,i1,e_i1,i2,e_i2,i3,e_i3,i4,e_i4,F11,e_F11,F19,e_F19,m1,e_m1,F31,e_F31,F37,e_F37,m2,e_m2,H70,e_H70,H160,e_H160,H250,e_H250,H350,e_H350,H500,e_H500,S850,e_S850,F1100,e_F1100,S1300,e_S1300,R37,Lbol,alpha,R,env_mass,env_mass_std,calc_mass,sLsun,sLsun_std,Lbol,inc,ext,s
Oph.11,16h26m59.2s -24d35m00.2s,Extended,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.143,0.017,0.487,0.0604,0.564,0.433,0.553,0.134,0.839170903131,0.0886161624327,12.5504804421,0.891950379587,5.64,0.79,40.7127992892,2.85237868631,47.6722162669,3.34574772316,47.6,4.76,101.124889464,10.1124889464,34.7310765077,7.93748655904,19.8085385121,4.89738545424,19.421774235,7.18793339811,17.2937978871,6.87230860838,,,,,,,2.60047121984,4.03429925371,2.03983560319,0.740172284297,0.0340000018477,0.0102320499718,,11.8999996185,1.91630113125,4.03429925371,77.8468017578,14.0,0.699999988079
NGC1333.9,03h28m55.6s +31d14m36.6s,Isolated,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.00105,0.000105,0.0126,0.00126,0.0227,0.00227,0.030216537416,0.0030216537416,0.122895249257,0.0705321443331,1.21300864041,0.134313201355,5.19420576096,0.519420576096,32.1518347652,2.26221414075,45.7381040484,3.23844001375,,,210.068777311,21.0068777311,336.489802107,33.6489802107,180.769192295,18.0769192295,91.4963281831,18.6126556292,38.2055495191,17.1151595777,,,2.3,0.23,,,0.79950882835,24.2829848534,2.87613300204,2.62430016271,2.91899991035,0.353591054678,1.7205062465,17.0,2.41245937347,24.2829848534,18.6717185974,14.0,0.850000023842
NGC2071.3,05h47m05.4s +00d21m50.3s,Isolated,0.00226823729463,0.000226823729463,0.00616453168914,0.000912350718863,0.0458279699087,0.00458279699087,0.227245447084,0.0227245447084,0.499237977027,0.0499237977027,0.690188548995,0.0690188548995,0.832288956064,0.0832288956064,0.170334774541,0.170334774541,3.02685390306,0.311690664477,,,19.9739125258,1.90949120707,37.5559961107,3.90977344668,,,215.401974687,21.5401974687,722.801608604,72.2801608604,573.388371161,57.3388371161,306.123052083,30.6123052083,125.161902859,12.5161902859,,,,,1.7,0.4,0.0,113.691394226,1.0087249128,1.5069649145,0.171000003815,0.31720867753,6.21231342705,28.75,7.85069513321,113.691394226,18.6717185974,14.0,1.29999995232
NGC7129.1,21h43m06.4s +66d06m55.4s,Extended,0.246200203896,0.0246200203896,0.53690803051,0.053690803051,0.980686843395,0.0980686843395,1.35691213608,0.135691213608,1.56512081623,0.156512081623,1.90852510929,0.190852510929,3.02165365219,0.302165365219,2.15431272245,0.154098472228,6.44942668011,0.500668108766,,,33.4750074662,2.57936335244,35.7772920379,2.65460785584,,,,,,,,,,,,,,,,,,,0.0,126.310023668,0.280597895249,1.5370447437,0.0509999990463,0.0143595999107,,249.599990845,31.0813961029,126.310023668,37.8636474609,0.0,1.29999995232
CepA.2,22h56m03.0s +62d02m58.0s,Extended,0.0007,0.0007,0.00160066236276,0.000163267555763,0.0112080536783,0.002,,,,,,,,,0.258201866847,0.070163887762,7.26737191987,0.512330293172,,,26.9923148578,1.89139532859,31.4099568934,2.2007025788,,,,,,,,,,,,,,,,,,,1.71129462762,25.0103335749,1.86470840941,0.786112822592,0.11400000006,0.0268184691668,,163.200012207,21.2947750092,25.0103335749,18.6717185974,14.0,0.699999988079
Oph.1,16h27m10.3s -24d19m12.9s,Isolated,0.506393790245,0.0506393790245,1.01741933823,0.101741933823,1.36877024174,0.136877024174,1.3,0.13,1.17,0.117,1.28,0.128,1.66,0.166,1.78098248269,0.156660833668,12.2301519165,0.869434441957,,0.113,25.5098924921,1.78846304556,29.2000735705,2.09307097797,16.6,1.66,23.5629130035,2.35629130035,15.3250849424,1.53250849424,6.08214522219,4.22351619143,4.01487853252,4.01487853252,3.23000298323,3.23000298323,0.4,0.04,,,0.095,0.0095,0.916298194129,3.63309639601,0.277297705756,0.666547474762,0.00999999977648,0.00181967089884,0.0404777534421,7.875,1.27332532406,3.63309639601,77.8468017578,3.0,0.699999988079
NGC7129.2,21h43m01.8s +66d07m08.7s,Extended,0.0510608814657,0.00510608814657,0.0614185892045,0.00614185892045,0.0530066825449,0.00530066825449,,,,,,,,,2.13206821401,0.156431332106,6.52709493052,0.464807848859,,,25.6664122821,1.80161878711,26.290658202,1.84416746818,,,,,,,,,,,,,,,,,,,1.60337989127,62.669903768,1.19315660823,0.639553525299,6.56799983978,3.02811694145,,72.25,9.04447174072,62.669903768,0.0,14.0,0.850000023842
NGC1333.11,03h28m37.1s +31d13m30.0s,Isolated,0.0007,0.0007,0.00118331366684,0.000152647451614,0.0101281600073,0.002,0.0301,0.00301,0.0892,0.00892,0.267,0.0267,0.00663,0.0283,0.156645831738,0.156645831738,4.39874551176,0.323480854321,2.18,0.739,20.8908535655,1.48313049563,23.3135193026,1.64950779185,,,58.8027579932,5.88027579932,63.081860032,6.3081860032,38.4224537432,3.84224537432,22.0232276346,2.20232276346,9.68395288417,1.6944260637,,,0.36,0.036,,,1.01680975093,7.47518860166,1.66803840642,0.986344530114,0.577000021935,0.132801041007,0.269296629887,7.69999980927,0.703212618828,7.47518860166,18.6717185974,14.0,0.850000023842
NGC2264.15,06h41m12.7s +09d29m04.5s,Isolated,0.0007,0.0007,0.00124022341333,0.000166189944139,0.057587787509,0.0057587787509,0.905631899834,0.0905631899834,2.39082622528,0.239082622528,3.16153407097,0.316153407097,3.77959012985,0.377959012985,3.22278966602,0.22973543818,9.06558231006,0.646800667447,,,18.3937431805,1.29630142832,22.3511121598,1.58174637753,,,,,,,,,,,,,,,,,,,1.02571586706,86.2858336494,0.722092798826,1.7710433801,0.0149999996647,0.00428133597597,,374.399993896,31.2584266663,86.2858336494,26.525352478,13.0,1.29999995232
IRAS20050.3,20h07m06.3s +27d28m56.6s,Clustered,0.0020141324494,0.00020141324494,0.00583310704678,0.000583310704678,0.0279466826469,0.00279466826469,0.0901883661106,0.00901883661106,0.21841526319,0.021841526319,0.338759276147,0.0338759276147,0.428667404518,0.0428667404518,0.180522856094,0.0590499808378,2.57590878279,0.265601657733,,,12.5323654653,0.940286668708,19.3346568592,1.41249746341,,,,,,,,,,,,,,,,,,,1.99829331699,12.8137508678,1.13466826383,0.732250572907,0.256000012159,0.113978140056,,48.4500007629,6.3407998085,12.8137508678,26.525352478,5.0,1.0
NGC2264.13,06h41m08.9s +09d29m44.9s,Isolated,0.00128140917514,0.000256281840848,0.00734344497323,0.000785748590715,0.0217135176063,0.00217135176063,0.0473098531365,0.00473098531365,0.0861683562398,0.00861683562398,0.136992812157,0.0136992812157,0.229638502002,0.0229638502002,0.505176644246,0.0980143449214,3.74936559434,0.388165991764,1.60220897198,0.160220897198,15.0327123113,1.29543305516,18.9113891229,1.49858987452,,,,,,,,,,,,,,,,,,,1.26493622099,19.9354746389,1.35149847689,0.5914920941,0.11400000006,0.0207225680351,,147.199996948,13.9208602905,19.9354746389,71.5915222168,13.0,1.14999997616
Oph.4,16h27m02.5s -24d37m27.6s,Extended,0.00344261550345,0.000344261550345,0.0659325942397,0.00659325942397,0.396579653025,0.0396579653025,1.4,0.14,1.97,0.197,5.03,0.503,10.7,1.46,5.89492972532,0.417952695114,8.75646328486,0.618931888301,,,16.278796761,1.1434115274,17.928454176,1.3081468982,29.1,2.91,60.5267905796,7.33315697115,28.0226879697,2.80226879697,,,,,,,,,0.26,0.026,,,1.80118920392,4.5030861546,0.185629488356,2.22414251891,0.00400000018999,0.000438892689999,0.0661813091197,14.2999992371,2.70284795761,4.5030861546,37.8636474609,14.0,1.29999995232
NGC1333.10,03h28m57.4s +31d14m15.0s,Isolated,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.0316,0.00316,0.104,0.0104,0.262,0.0262,0.370036453009,0.0370036453009,0.116105710185,0.100472525295,1.59443680738,0.170150853123,4.65070915222,0.465070915222,10.1441913396,0.75170020025,15.6309962208,1.13925150061,,,27.238466422,2.7238466422,30.4730235544,6.81119877848,53.8727777497,16.3328239011,54.3790249969,20.2957157017,32.7721839717,20.1607089347,,,0.6,0.06,,,0.79938862561,4.82224265136,1.79468213677,1.15585565088,0.256000012159,0.17840051651,0.448827716479,5.59999990463,0.929834246635,4.82224265136,18.6717185974,14.0,0.699999988079
NGC2264.16,06h41m02.8s +09d36m14.7s,Extended,0.00926591549069,0.000926591549069,0.0703882426023,0.00703882426023,0.224249050021,0.0224249050021,0.574052631855,0.0574052631855,0.632336318493,0.0632336318493,0.650875389576,0.0650875389576,0.639506280422,0.0639506280422,1.18973819716,0.101409292637,4.66704398186,0.33161972389,3.41286540031,0.341286540031,13.8558604111,0.985625835003,14.5458581062,1.0238983503,,,,,,,,,,,,,,,,,,,2.12482037445,37.7832890824,0.410921448781,1.02695916221,0.0219999998808,0.00697128195316,,166.399993896,27.8228359222,37.7832890824,50.8332901001,9.0,1.29999995232
IRAS20050.4,20h07m05.9s +27d28m59.2s,Clustered,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.0234757355556,0.00274305137237,0.0391139727575,0.00391139727575,0.052864584062,0.00752605236516,0.0546009640764,0.00763832567381,0.0531483031377,0.0531483031377,0.251180451701,0.196062525804,,,8.5370958127,0.795371170212,12.8454007384,1.25166734173,,,,,,,,,,,,,,,,,1.8,0.2,2.08720499578,14.9279079198,1.70484777641,0.23936378397,0.577000021935,0.216813117266,19.1736726831,48.4500007629,8.74366855621,14.9279079198,46.8264503479,5.0,1.29999995232
IRAS20050.2,20h07m06.2s +27d28m49.1s,Clustered,0.0007,0.0007,0.0009,0.0009,0.0015,0.002,0.0406355610241,0.00406355610241,0.14232296263,0.014232296263,0.263840017609,0.0263840017609,0.308257625069,0.0308257625069,0.0552361608969,0.0552361608969,1.44967982753,0.191045138501,,,9.30929780429,0.715988022636,11.9596603139,1.19323657095,,,,,,,,,,,,,,,,,,,2.28046644929,8.00519656193,1.64028093703,0.757609837585,0.577000021935,0.217499107122,,26.6000003815,6.047498703,8.00519656193,18.6717185974,14.0,0.699999988079
