	total_star	 total_blob	total_match	success_rate	exposure	eq_attitude_ra	eq_attitude_dec	eq_attitude_roll	eq_errors_ra	eq_errors_dec	eq_errors_roll	eq_point_error	eq_iplatescale	hor_attitude_az	hor_attitude_el	hor_attitude_roll	hor_point_error	hor_iplatescale	time_wall	time_user	time_system	time_CPU	az	dec	roll	sigma_az	sigma_dec	sigma_roll	sigma_point	fit_err	iplatescale
0	13.0	24.0	8.0	33.33	236.0	219.3289	1.0742	-147.2263	2.026	1.746	172.54	1.886	4.025	138.3808	43.9668	-178.3075	1.888	4.025	0.888413	0.85	0.03	0.88	9.82152e-06	8.46594e-06	0.000836499	9.82152e-06	8.46594e-06	0.000836499	9.14287e-06	1.15343	1.95138e-05
1	12.0	27.0	10.0	37.04	212.0	224.539	1.0694	-147.2404	0.851	0.839	72.882	0.845	4.025	138.3623	43.9531	-178.3342	0.845	4.025	1.822449	1.76	0.03	1.79	4.12421e-06	4.0654e-06	0.000353343	4.12421e-06	4.0654e-06	0.000353343	4.09445e-06	0.658614	1.95138e-05
2	13.0	35.0	10.0	28.57	294.0	228.8955	1.0656	-147.2406	1.018	1.011	106.776	1.014	4.025	138.3621	43.9486	-178.3344	1.014	4.025	1.158431	1.12	0.02	1.14	4.93687e-06	4.89991e-06	0.000517663	4.93687e-06	4.89991e-06	0.000517663	4.91796e-06	0.769069	1.95138e-05
3	12.0	36.0	7.0	19.44	204.0	228.0408	1.0659	-147.2272	1.739	1.818	122.897	1.778	4.025	138.3827	43.9579	-178.307	1.779	4.025	0.994929	0.97	0.02	0.99	8.43163e-06	8.81212e-06	0.000595823	8.43163e-06	8.81212e-06	0.000595823	8.62114e-06	1.14305	1.95138e-05
4	13.0	16.0	8.0	50.0	211.0	218.5603	1.0749	-147.2147	1.902	1.992	162.025	1.947	4.025	138.3484	43.9535	-178.3179	1.947	4.025	1.775608	1.73	0.02	1.75	9.22254e-06	9.65568e-06	0.000785521	9.22254e-06	9.65568e-06	0.000785521	9.4383e-06	1.33128	1.95138e-05
5	11.0	26.0	10.0	38.46	226.0	223.2583	1.0703	-147.2328	1.451	1.452	95.892	1.451	4.025	138.3909	43.9666	-178.3071	1.451	4.025	1.639075	1.58	0.04	1.62	7.03308e-06	7.03856e-06	0.000464898	7.03308e-06	7.03856e-06	0.000464898	7.0352e-06	1.13733	1.95138e-05
6	12.0	23.0	11.0	47.83	300.0	225.0516	1.069	-147.2437	0.851	0.873	77.275	0.862	4.025	138.3505	43.9475	-178.3454	0.862	4.025	1.953792	1.89	0.03	1.92	4.12602e-06	4.23259e-06	0.000374638	4.12602e-06	4.23259e-06	0.000374638	4.17895e-06	0.700806	1.95138e-05
7	12.0	31.0	8.0	25.81	298.0	226.5044	1.0677	-147.2301	1.399	1.432	112.989	1.415	4.025	138.3664	43.9529	-178.3211	1.414	4.025	2.034704	1.93	0.05	1.98	6.78141e-06	6.94094e-06	0.000547785	6.78141e-06	6.94094e-06	0.000547785	6.86059e-06	0.955339	1.95138e-05
8	15.0	36.0	11.0	30.56	292.0	229.0661	1.0658	-147.1909	1.222	1.153	97.054	1.188	4.025	138.3584	43.9472	-178.2873	1.188	4.025	1.031185	0.99	0.03	1.02	5.92515e-06	5.59159e-06	0.000470531	5.92515e-06	5.59159e-06	0.000470531	5.75786e-06	0.949196	1.95138e-05
9	13.0	34.0	8.0	23.53	260.0	221.2079	1.0716	-147.2311	1.262	1.286	95.302	1.274	4.025	138.3888	43.9672	-178.3069	1.273	4.025	1.345862	1.31	0.02	1.33	6.11981e-06	6.23531e-06	0.000462038	6.11981e-06	6.23531e-06	0.000462038	6.17703e-06	0.856824	1.95138e-05
