	total_star	 total_blob	total_match	success_rate	exposure	eq_attitude_ra	eq_attitude_dec	eq_attitude_roll	eq_errors_ra	eq_errors_dec	eq_errors_roll	eq_point_error	eq_iplatescale	hor_attitude_az	hor_attitude_el	hor_attitude_roll	hor_point_error	hor_iplatescale	time_wall	time_user	time_system	time_CPU	az	dec	roll	sigma_az	sigma_dec	sigma_roll	sigma_point	fit_err	iplatescale
0	11.0	12.0	7.0	58.33	29.0	240.3635	1.0526	-147.2316	1.607	1.521	125.764	1.564	4.025	138.3906	43.9458	-178.306	1.56	4.025	1.112033	1.07	0.03	1.1	7.79135e-06	7.3716e-06	0.000609719	7.79135e-06	7.3716e-06	0.000609719	7.58082e-06	0.917029	1.95138e-05
1	11.0	9.0	4.0	44.44	28.0	241.1742	1.0501	-147.3144	2.623	2.482	172.068	2.552	4.025	138.3741	43.9357	-178.3999	2.552	4.025	0.96357	0.93	0.03	0.96	1.27161e-05	1.20313e-05	0.000834207	1.27161e-05	1.20313e-05	0.000834207	1.23726e-05	1.22881	1.95138e-05
2	10.0	13.0	5.0	38.46	313.0	241.5997	1.0526	-147.2467	3.248	3.056	227.871	3.152	4.025	138.364	43.9342	-178.3391	3.152	4.025	0.950084	0.91	0.03	0.94	1.57473e-05	1.48144e-05	0.00110475	1.57473e-05	1.48144e-05	0.00110475	1.52795e-05	1.69145	1.95138e-05
3	9.0	15.0	5.0	33.33	51.0	241.5362	1.0512	-147.2763	2.972	3.004	213.243	2.988	4.025	138.3907	43.9443	-178.3506	2.988	4.025	0.962369	0.93	0.03	0.96	1.44075e-05	1.4564e-05	0.00103383	1.44075e-05	1.4564e-05	0.00103383	1.44845e-05	1.64675	1.95138e-05
4	14.0	9.0	7.0	77.78	253.0	240.8536	1.0523	-147.2433	1.97	1.974	127.956	1.972	4.025	138.4053	43.9518	-178.3076	1.972	4.025	1.032742	1.0	0.03	1.03	9.55156e-06	9.56999e-06	0.000620347	9.55156e-06	9.56999e-06	0.000620347	9.55997e-06	1.29355	1.95138e-05
5	14.0	11.0	4.0	36.36	356.0	240.9177	1.0509	-147.1349	2.994	2.958	217.269	2.976	4.025	138.3799	43.9392	-178.2165	2.976	4.025	1.103083	1.04	0.04	1.08	1.45157e-05	1.43413e-05	0.00105335	1.45157e-05	1.43413e-05	0.00105335	1.44273e-05	1.46438	1.95138e-05
6	13.0	13.0	5.0	38.46	32.0	237.5229	1.0556	-147.2554	2.233	2.219	151.617	2.226	4.025	138.3819	43.9455	-178.3357	2.226	4.025	0.962055	0.92	0.03	0.95	1.08273e-05	1.07566e-05	0.000735061	1.08273e-05	1.07566e-05	0.000735061	1.0791e-05	1.23262	1.95138e-05
7	9.0	8.0	5.0	62.5	29.0	237.6925	1.0552	-147.2444	2.063	2.335	152.512	2.199	4.025	138.3796	43.9441	-178.3263	2.203	4.025	0.949596	0.91	0.02	0.93	1.00041e-05	1.13226e-05	0.000739399	1.00041e-05	1.13226e-05	0.000739399	1.06625e-05	1.14585	1.95138e-05
8	11.0	8.0	4.0	50.0	39.0	240.2986	1.0526	-147.2175	2.442	2.321	191.783	2.381	4.025	138.3682	43.9361	-178.3071	2.381	4.025	0.969374	0.94	0.02	0.96	1.18375e-05	1.12525e-05	0.000929791	1.18375e-05	1.12525e-05	0.000929791	1.1544e-05	1.1235	1.95138e-05
9	13.0	11.0	6.0	54.55	31.0	239.9351	1.0533	-147.2914	1.507	1.473	156.842	1.49	4.025	138.4017	43.9514	-178.3583	1.489	4.025	0.90865	0.87	0.03	0.9	7.30419e-06	7.14119e-06	0.000760391	7.30419e-06	7.14119e-06	0.000760391	7.22207e-06	0.873499	1.95138e-05
