	total_star	 total_blob	total_match	success_rate	exposure	eq_attitude_ra	eq_attitude_dec	eq_attitude_roll	eq_errors_ra	eq_errors_dec	eq_errors_roll	eq_point_error	eq_iplatescale	hor_attitude_az	hor_attitude_el	hor_attitude_roll	hor_point_error	hor_iplatescale	time_wall	time_user	time_system	time_CPU	az	dec	roll	sigma_az	sigma_dec	sigma_roll	sigma_point	fit_err	iplatescale
18	10.0	26.0	9.0	34.62	110.0	232.739	1.0618	-147.2243	1.347	1.406	112.106	1.377	4.025	138.3903	43.9564	-178.2989	1.376	4.025	0.939776	0.91	0.03	0.94	6.53155e-06	6.81699e-06	0.000543505	6.53155e-06	6.81699e-06	0.000543505	6.67371e-06	0.994264	1.95138e-05
19	14.0	26.0	10.0	38.46	130.0	232.0556	1.0624	-147.2346	1.717	1.705	126.004	1.711	4.025	138.3563	43.9423	-178.3323	1.711	4.025	0.965093	0.92	0.04	0.96	8.32563e-06	8.26369e-06	0.000610887	8.32563e-06	8.26369e-06	0.000610887	8.29395e-06	1.33906	1.95138e-05
20	12.0	21.0	7.0	33.33	87.0	230.6887	1.064	-147.2186	1.94	1.947	140.795	1.944	4.025	138.3873	43.9577	-178.2953	1.943	4.025	1.000753	0.97	0.02	0.99	9.4068e-06	9.43967e-06	0.000682594	9.4068e-06	9.43967e-06	0.000682594	9.42242e-06	1.27059	1.95138e-05
21	13.0	26.0	8.0	30.77	121.0	232.483	1.0617	-147.2328	1.109	1.127	99.208	1.118	4.025	138.3961	43.9589	-178.3035	1.118	4.025	0.965093	0.92	0.03	0.95	5.37661e-06	5.46435e-06	0.000480975	5.37661e-06	5.46435e-06	0.000480975	5.42002e-06	0.778005	1.95138e-05
22	15.0	31.0	9.0	29.03	103.0	232.2259	1.0618	-147.2007	2.095	2.079	193.141	2.087	4.025	138.3533	43.9404	-178.3004	2.087	4.025	0.9353	0.9	0.03	0.93	1.0155e-05	1.00813e-05	0.000936372	1.0155e-05	1.00813e-05	0.000936372	1.01173e-05	1.54749	1.95138e-05
23	17.0	29.0	12.0	41.38	121.0	233.6786	1.0601	-147.2532	1.109	1.101	87.699	1.105	4.025	138.3696	43.9455	-178.3419	1.105	4.025	0.964094	0.92	0.03	0.95	5.37477e-06	5.33647e-06	0.000425176	5.37477e-06	5.33647e-06	0.000425176	5.35516e-06	0.944644	1.95138e-05
24	15.0	32.0	14.0	43.75	119.0	233.166	1.0606	-147.2446	0.831	0.878	66.704	0.855	4.025	138.3814	43.9511	-178.3253	0.855	4.025	0.962232	0.92	0.04	0.96	4.02929e-06	4.25879e-06	0.000323391	4.02929e-06	4.25879e-06	0.000323391	4.14369e-06	0.768739	1.95138e-05
25	13.0	29.0	4.0	13.79	120.0	231.6424	23.8234	-131.1455	4.614	4.211	392.216	4.216	4.025	113.0323	61.0917	177.4279	4.214	4.025	1.449507	1.37	0.04	1.41	2.23672e-05	2.04148e-05	0.00190152	2.23672e-05	2.04148e-05	0.00190152	2.04381e-05	2.03989	1.95138e-05
26	9.0	24.0	8.0	33.33	94.0	230.8611	1.0637	-147.3149	2.746	2.747	221.376	2.746	4.025	138.3818	43.955	-178.3953	2.746	4.025	0.996469	0.95	0.03	0.98	1.3313e-05	1.33199e-05	0.00107326	1.3313e-05	1.33199e-05	0.00107326	1.33153e-05	1.9294	1.95138e-05
27	16.0	29.0	14.0	48.28	114.0	232.1414	1.062	-147.2152	1.386	1.384	104.866	1.385	4.025	138.3542	43.9409	-178.3144	1.385	4.025	0.962818	0.91	0.04	0.95	6.72173e-06	6.71121e-06	0.000508403	6.72173e-06	6.71121e-06	0.000508403	6.71589e-06	1.28691	1.95138e-05
28	14.0	33.0	13.0	39.39	112.0	232.3118	1.0617	-147.2642	1.491	1.49	123.571	1.49	4.025	138.4006	43.9607	-178.3319	1.49	4.025	1.008233	0.97	0.03	1.0	7.2264e-06	7.22488e-06	0.000599089	7.2264e-06	7.22488e-06	0.000599089	7.22502e-06	1.33453	1.95138e-05
29	11.0	26.0	9.0	34.62	83.0	231.372	1.0625	-147.222	1.196	1.29	102.811	1.243	4.025	138.3725	43.9495	-178.3087	1.243	4.025	0.954105	0.91	0.04	0.95	5.79808e-06	6.25524e-06	0.00049844	5.79808e-06	6.25524e-06	0.00049844	6.02616e-06	0.889199	1.95138e-05
30	18.0	29.0	10.0	34.48	136.0	233.507	1.0598	-147.2184	1.667	1.68	140.963	1.673	4.025	138.3747	43.9473	-178.3036	1.671	4.025	0.987607	0.94	0.04	0.98	8.08418e-06	8.14364e-06	0.000683406	8.08418e-06	8.14364e-06	0.000683406	8.11322e-06	1.23984	1.95138e-05
31	9.0	31.0	8.0	25.81	110.0	232.6536	1.061	-147.2567	1.747	1.801	177.432	1.774	4.025	138.3929	43.9566	-178.3295	1.626	4.025	0.940982	0.9	0.03	0.93	8.46781e-06	8.73385e-06	0.000860216	8.46781e-06	8.73385e-06	0.000860216	8.6001e-06	1.18613	1.95138e-05
32	12.0	31.0	12.0	38.71	108.0	231.4578	1.0627	-147.2429	1.127	1.163	92.468	1.145	4.025	138.3699	43.9487	-178.3314	1.145	4.025	1.037377	0.99	0.03	1.02	5.46239e-06	5.63626e-06	0.000448297	5.46239e-06	5.63626e-06	0.000448297	5.54886e-06	0.969574	1.95138e-05
33	10.0	34.0	9.0	26.47	91.0	231.2016	1.0628	-147.2629	1.476	1.45	121.183	1.463	4.025	138.3757	43.9513	-178.3475	1.463	4.025	0.997824	0.94	0.04	0.98	7.15769e-06	7.02811e-06	0.000587512	7.15769e-06	7.02811e-06	0.000587512	7.09228e-06	1.08044	1.95138e-05
34	14.0	19.0	7.0	36.84	109.0	230.6045	1.064	-147.2385	1.977	1.999	144.345	1.988	4.025	138.3879	43.9579	-178.3148	1.988	4.025	1.059172	1.02	0.03	1.05	9.587e-06	9.69227e-06	0.000699806	9.587e-06	9.69227e-06	0.000699806	9.63881e-06	1.29212	1.95138e-05
35	12.0	24.0	10.0	41.67	117.0	231.7996	1.0624	-147.2401	1.144	1.158	94.563	1.151	4.025	138.3621	43.9449	-178.3339	1.151	4.025	0.97963	0.93	0.03	0.96	5.54489e-06	5.61397e-06	0.000458456	5.54489e-06	5.61397e-06	0.000458456	5.57895e-06	0.891133	1.95138e-05
36	14.0	32.0	9.0	28.13	133.0	231.9702	1.0622	-147.2541	1.141	1.203	93.133	1.172	4.025	138.3585	43.9431	-178.3503	1.172	4.025	0.998945	0.96	0.03	0.99	5.53278e-06	5.83298e-06	0.000451524	5.53278e-06	5.83298e-06	0.000451524	5.6824e-06	0.84995	1.95138e-05
