,Exposure time,Number of images in run,Fitted exposure time,Std fitted exposure time,Number of matching stars,Std number of matching stars,Fit error (arcsec),Std fit error (arcsec),Processing time,Std processing time,Solution success rate
Exp1,250,118,259.6779661,92.19074564,9.118644068,1.673165535,1.462262712,0.429333726,1.477358619,0.765678304,98.33333333
Exp2,125,36,113.25,13.19590635,9.75,1.949002594,1.457277778,0.387625221,1.047455083,0.258370011,100
Exp3,62,49,69.65306122,52.94415657,8.428571429,1.551825784,1.723163265,0.640281136,1.009244796,0.211943604,96.07843137
Exp4,62,132,66.13636364,23.34905511,7.318181818,1.33891737,1.754575758,0.647916464,1.224127038,0.593313554,75.86206897
Exp5,31,35,44.31428571,52.52306782,6.542857143,0.839825055,2.329971429,0.792871039,1.190663686,0.47553171,36.84210526
